SL. no,Crop,Season,Temperature in C,Organic Content in %,Moisture in %,fertiliser %,pesticide usage %,estimated quality,Nitrogen %,Phosphorous %,Potassium %,Yield
7391,Potato,Kharif & Rabbi,35,33,36,59,36,50,0.069,0.52,0.667,70
7392,Potato,Kharif & Rabbi,25,60,49,39,42,78,0.108,0.586,0.739,74
7393,Potato,Kharif & Rabbi,30,42,51,71,53,41,0.082,0.451,0.599,51
7394,Potato,Kharif & Rabbi,35,26,47,77,39,50,0.094,0.378,0.682,68
7395,Potato,Kharif & Rabbi,26,67,59,28,52,54,0.07,0.567,0.812,70
7396,Potato,Kharif & Rabbi,31,59,53,24,48,86,0.121,0.557,0.749,87
7397,Potato,Kharif & Rabbi,25,32,64,75,33,41,0.076,0.373,0.731,69
7398,Potato,Kharif & Rabbi,25,68,35,51,48,54,0.08,0.466,0.72,68
7399,Potato,Kharif & Rabbi,27,53,49,42,58,58,0.11,0.585,0.775,67
7400,Potato,Kharif & Rabbi,34,56,60,25,32,86,0.122,0.508,0.777,75
7401,Potato,Kharif & Rabbi,27,33,45,65,44,41,0.075,0.421,0.716,59
7402,Potato,Kharif & Rabbi,25,30,57,65,60,39,0.067,0.388,0.571,55
7403,Potato,Kharif & Rabbi,25,61,52,26,33,76,0.08,0.487,0.739,87
7404,Potato,Kharif & Rabbi,36,64,56,25,59,57,0.135,0.566,0.725,68
7405,Potato,Kharif & Rabbi,32,36,64,79,55,49,0.096,0.466,0.723,55
7406,Potato,Kharif & Rabbi,32,47,44,75,57,41,0.106,0.392,0.595,67
7407,Potato,Kharif & Rabbi,28,49,59,61,32,57,0.056,0.402,0.708,71
7408,Potato,Kharif & Rabbi,33,71,48,54,40,58,0.123,0.482,0.811,62
7409,Potato,Kharif & Rabbi,30,40,58,73,49,53,0.051,0.427,0.733,70
7410,Potato,Kharif & Rabbi,29,57,37,41,45,74,0.075,0.475,0.816,83
7411,Potato,Kharif & Rabbi,28,46,39,75,35,38,0.084,0.49,0.557,65
7412,Potato,Kharif & Rabbi,34,55,35,37,38,86,0.105,0.507,0.818,86
7413,Potato,Kharif & Rabbi,32,41,56,79,35,39,0.064,0.483,0.587,63
7414,Potato,Kharif & Rabbi,27,48,40,81,32,55,0.053,0.423,0.694,60
7415,Potato,Kharif & Rabbi,31,34,67,70,45,38,0.083,0.425,0.745,63
7416,Potato,Kharif & Rabbi,36,35,53,71,32,43,0.089,0.384,0.728,60
7417,Potato,Kharif & Rabbi,30,53,58,30,55,55,0.081,0.507,0.767,76
7418,Potato,Kharif & Rabbi,33,57,42,47,56,46,0.12,0.527,0.774,81
7419,Potato,Kharif & Rabbi,34,30,42,73,50,32,0.08,0.371,0.618,58
7420,Potato,Kharif & Rabbi,32,52,38,36,42,82,0.091,0.51,0.775,74
7421,Potato,Kharif & Rabbi,28,29,58,70,39,53,0.096,0.426,0.543,70
7422,Potato,Kharif & Rabbi,31,40,51,77,39,42,0.085,0.526,0.721,63
7423,Potato,Kharif & Rabbi,30,26,42,67,45,48,0.049,0.439,0.658,71
7424,Potato,Kharif & Rabbi,25,27,48,77,39,48,0.056,0.461,0.61,63
7425,Potato,Kharif & Rabbi,26,59,64,27,57,46,0.077,0.598,0.77,77
7426,Potato,Kharif & Rabbi,31,46,42,62,55,32,0.068,0.408,0.709,71
7427,Potato,Kharif & Rabbi,33,64,44,45,32,78,0.102,0.544,0.773,77
7428,Potato,Kharif & Rabbi,27,31,40,69,55,39,0.092,0.536,0.566,58
7429,Potato,Kharif & Rabbi,36,67,46,40,60,49,0.087,0.566,0.748,76
7430,Potato,Kharif & Rabbi,34,56,57,25,44,75,0.078,0.494,0.784,76
7431,Potato,Kharif & Rabbi,26,28,63,75,50,49,0.113,0.376,0.766,52
7432,Potato,Kharif & Rabbi,35,62,53,27,55,52,0.122,0.521,0.771,69
7433,Potato,Kharif & Rabbi,35,63,37,53,48,47,0.136,0.455,0.803,62
7434,Potato,Kharif & Rabbi,34,33,35,75,59,35,0.088,0.387,0.683,70
7435,Potato,Kharif & Rabbi,27,35,47,67,32,45,0.082,0.527,0.62,70
7436,Potato,Kharif & Rabbi,28,28,41,71,43,47,0.068,0.41,0.597,63
7437,Potato,Kharif & Rabbi,29,33,54,58,44,49,0.102,0.444,0.69,64
7438,Potato,Kharif & Rabbi,36,71,43,34,40,75,0.084,0.554,0.766,90
7439,Potato,Kharif & Rabbi,33,38,55,64,33,47,0.042,0.493,0.723,66
7440,Potato,Kharif & Rabbi,27,57,34,40,59,43,0.065,0.586,0.721,73
7441,Potato,Kharif & Rabbi,34,47,36,68,55,31,0.04,0.48,0.706,66
7442,Potato,Kharif & Rabbi,34,34,55,58,35,51,0.064,0.39,0.709,67
7443,Potato,Kharif & Rabbi,36,71,61,28,58,47,0.128,0.498,0.77,67
7444,Potato,Kharif & Rabbi,25,63,36,50,36,81,0.112,0.489,0.727,68
7445,Potato,Kharif & Rabbi,33,30,49,71,41,50,0.099,0.518,0.74,64
7446,Potato,Kharif & Rabbi,31,50,52,29,35,72,0.081,0.554,0.748,75
7447,Potato,Kharif & Rabbi,26,56,42,41,39,83,0.138,0.578,0.729,89
7448,Potato,Kharif & Rabbi,31,48,60,59,44,40,0.082,0.528,0.653,67
7449,Potato,Kharif & Rabbi,28,55,48,45,45,81,0.112,0.587,0.711,81
7450,Potato,Kharif & Rabbi,31,56,39,45,42,87,0.137,0.456,0.83,76
7451,Potato,Kharif & Rabbi,26,37,45,60,32,52,0.116,0.509,0.648,67
7452,Potato,Kharif & Rabbi,28,31,67,61,36,53,0.1,0.402,0.749,65
7453,Potato,Kharif & Rabbi,32,42,54,65,33,57,0.081,0.468,0.526,67
7454,Potato,Kharif & Rabbi,27,43,40,62,59,33,0.087,0.505,0.637,66
7455,Potato,Kharif & Rabbi,34,41,66,60,43,38,0.113,0.457,0.73,65
7456,Potato,Kharif & Rabbi,26,39,43,69,49,50,0.086,0.488,0.536,71
7457,Potato,Kharif & Rabbi,30,67,67,29,42,78,0.134,0.564,0.811,75
7458,Potato,Kharif & Rabbi,30,62,42,44,48,85,0.077,0.53,0.821,80
7459,Potato,Kharif & Rabbi,33,53,54,24,58,50,0.1,0.521,0.766,67
7460,Potato,Kharif & Rabbi,32,62,49,42,51,54,0.103,0.564,0.811,78
7461,Potato,Kharif & Rabbi,26,50,68,33,61,59,0.102,0.56,0.808,68
7462,Potato,Kharif & Rabbi,30,50,61,28,33,76,0.135,0.562,0.783,88
7463,Potato,Kharif & Rabbi,31,47,37,61,37,39,0.065,0.45,0.554,66
7464,Potato,Kharif & Rabbi,29,47,35,74,37,40,0.117,0.387,0.756,65
7465,Potato,Kharif & Rabbi,34,40,40,76,40,52,0.086,0.41,0.572,67
7466,Potato,Kharif & Rabbi,30,61,38,44,58,55,0.08,0.532,0.726,74
7467,Potato,Kharif & Rabbi,36,62,68,32,60,44,0.111,0.48,0.733,77
7468,Potato,Kharif & Rabbi,30,65,48,37,56,54,0.069,0.596,0.806,81
7469,Potato,Kharif & Rabbi,33,33,36,65,61,42,0.098,0.435,0.645,58
7470,Potato,Kharif & Rabbi,25,52,36,41,40,72,0.112,0.559,0.729,86
7471,Potato,Kharif & Rabbi,26,61,37,55,50,48,0.064,0.496,0.793,57
7472,Potato,Kharif & Rabbi,31,38,34,75,54,44,0.081,0.4,0.576,52
7473,Potato,Kharif & Rabbi,32,59,60,33,44,72,0.09,0.471,0.805,77
7474,Potato,Kharif & Rabbi,31,32,68,60,45,52,0.065,0.471,0.708,59
7475,Potato,Kharif & Rabbi,32,64,38,49,38,79,0.095,0.501,0.771,87
7476,Potato,Kharif & Rabbi,27,57,49,42,39,77,0.07,0.495,0.722,88
7477,Potato,Kharif & Rabbi,28,48,49,62,45,51,0.117,0.42,0.758,66
7478,Potato,Kharif & Rabbi,34,61,40,40,35,78,0.128,0.526,0.715,91
7479,Potato,Kharif & Rabbi,26,70,46,54,56,37,0.077,0.488,0.783,55
7480,Potato,Kharif & Rabbi,35,50,55,32,41,74,0.115,0.577,0.745,84
7481,Potato,Kharif & Rabbi,31,39,64,76,56,44,0.042,0.532,0.577,60
7482,Potato,Kharif & Rabbi,27,69,63,32,37,75,0.083,0.547,0.713,91
7483,Potato,Kharif & Rabbi,34,53,52,31,32,86,0.077,0.46,0.794,91
7484,Potato,Kharif & Rabbi,35,42,43,60,39,53,0.059,0.463,0.598,68
7485,Potato,Kharif & Rabbi,31,57,48,36,51,55,0.081,0.588,0.795,75
7486,Potato,Kharif & Rabbi,26,46,42,63,34,57,0.118,0.397,0.532,64
7487,Potato,Kharif & Rabbi,28,23,47,72,46,42,0.049,0.418,0.616,58
7488,Potato,Kharif & Rabbi,30,70,53,29,59,57,0.124,0.473,0.711,76
7489,Potato,Kharif & Rabbi,33,39,35,64,32,48,0.078,0.456,0.733,71
7490,Potato,Kharif & Rabbi,29,46,52,66,56,49,0.096,0.387,0.59,61
7491,Potato,Kharif & Rabbi,30,70,56,24,52,58,0.085,0.458,0.762,75
7492,Potato,Kharif & Rabbi,27,65,53,30,52,50,0.064,0.582,0.711,70
7493,Potato,Kharif & Rabbi,28,23,42,72,48,57,0.051,0.521,0.683,67
7494,Potato,Kharif & Rabbi,29,42,36,59,51,31,0.113,0.443,0.68,53
7495,Potato,Kharif & Rabbi,28,49,40,64,60,31,0.115,0.424,0.701,52
7496,Potato,Kharif & Rabbi,27,23,37,78,33,45,0.075,0.414,0.562,70
7497,Potato,Kharif & Rabbi,33,67,52,29,43,81,0.094,0.476,0.722,76
7498,Potato,Kharif & Rabbi,29,52,65,29,57,59,0.115,0.595,0.716,76
7499,Potato,Kharif & Rabbi,30,40,44,64,40,38,0.088,0.405,0.659,62
7500,Potato,Kharif & Rabbi,34,51,59,30,56,56,0.115,0.597,0.752,75
7501,Potato,Kharif & Rabbi,30,69,60,30,45,72,0.061,0.508,0.82,78
7502,Potato,Kharif & Rabbi,32,60,58,33,36,76,0.082,0.591,0.809,82
7503,Potato,Kharif & Rabbi,33,46,54,78,60,47,0.044,0.536,0.737,54
7504,Potato,Kharif & Rabbi,28,54,65,28,38,84,0.084,0.461,0.808,91
7505,Potato,Kharif & Rabbi,33,52,42,36,52,51,0.119,0.551,0.714,78
7506,Potato,Kharif & Rabbi,29,64,34,51,56,50,0.12,0.576,0.732,60
7507,Potato,Kharif & Rabbi,26,43,62,73,58,39,0.114,0.411,0.713,72
7508,Potato,Kharif & Rabbi,29,47,47,69,51,41,0.048,0.462,0.554,55
7509,Potato,Kharif & Rabbi,33,70,49,50,45,85,0.075,0.566,0.809,70
7510,Potato,Kharif & Rabbi,29,29,62,80,44,57,0.068,0.44,0.639,64
7511,Potato,Kharif & Rabbi,29,36,40,76,38,39,0.109,0.525,0.585,66
7512,Potato,Kharif & Rabbi,32,49,47,80,44,46,0.099,0.449,0.628,70
7513,Potato,Kharif & Rabbi,32,54,43,52,37,56,0.14,0.515,0.765,62
7514,Potato,Kharif & Rabbi,35,48,53,75,46,55,0.073,0.502,0.703,65
7515,Potato,Kharif & Rabbi,26,62,34,51,40,49,0.133,0.571,0.796,61
7516,Potato,Kharif & Rabbi,27,62,67,33,55,45,0.097,0.598,0.767,80
7517,Potato,Kharif & Rabbi,27,55,64,30,57,59,0.126,0.564,0.828,73
7518,Potato,Kharif & Rabbi,32,28,41,65,45,41,0.119,0.467,0.76,67
7519,Potato,Kharif & Rabbi,29,43,61,77,39,44,0.056,0.475,0.53,68
7520,Potato,Kharif & Rabbi,27,68,47,56,41,56,0.122,0.553,0.727,70
7521,Potato,Kharif & Rabbi,25,45,37,67,44,51,0.052,0.522,0.628,70
7522,Potato,Kharif & Rabbi,26,36,51,71,50,45,0.051,0.523,0.585,69
7523,Potato,Kharif & Rabbi,30,63,50,24,54,48,0.1,0.457,0.773,72
7524,Potato,Kharif & Rabbi,31,31,47,76,55,30,0.064,0.537,0.737,63
7525,Potato,Kharif & Rabbi,26,36,61,65,52,42,0.075,0.449,0.524,54
7526,Potato,Kharif & Rabbi,30,37,54,78,51,49,0.099,0.534,0.622,59
7527,Potato,Kharif & Rabbi,28,30,41,63,55,45,0.071,0.499,0.74,58
7528,Potato,Kharif & Rabbi,26,29,39,80,32,42,0.102,0.488,0.537,68
7529,Potato,Kharif & Rabbi,29,64,68,24,32,79,0.062,0.479,0.768,88
7530,Potato,Kharif & Rabbi,34,66,37,36,50,50,0.073,0.51,0.807,73
7531,Potato,Kharif & Rabbi,28,33,61,77,41,53,0.052,0.421,0.554,60
7532,Potato,Kharif & Rabbi,33,26,51,76,33,40,0.051,0.496,0.723,67
7533,Potato,Kharif & Rabbi,30,58,35,54,61,39,0.088,0.548,0.788,58
7534,Potato,Kharif & Rabbi,28,54,64,32,49,78,0.099,0.457,0.754,81
7535,Potato,Kharif & Rabbi,30,52,47,54,46,43,0.072,0.488,0.793,62
7536,Potato,Kharif & Rabbi,33,60,42,47,38,79,0.129,0.502,0.717,74
7537,Potato,Kharif & Rabbi,36,49,37,75,57,39,0.086,0.433,0.536,63
7538,Potato,Kharif & Rabbi,31,27,39,74,35,49,0.086,0.52,0.742,64
7539,Potato,Kharif & Rabbi,30,23,60,81,46,42,0.108,0.436,0.568,58
7540,Potato,Kharif & Rabbi,25,33,67,60,40,42,0.082,0.53,0.687,62
7541,Potato,Kharif & Rabbi,30,36,35,70,61,45,0.059,0.513,0.601,67
7542,Potato,Kharif & Rabbi,32,46,46,71,58,47,0.048,0.453,0.639,62
7543,Potato,Kharif & Rabbi,33,68,41,47,35,85,0.095,0.52,0.771,86
7544,Potato,Kharif & Rabbi,27,55,68,30,39,82,0.072,0.514,0.814,78
7545,Potato,Kharif & Rabbi,27,63,52,28,38,84,0.086,0.582,0.736,81
7546,Potato,Kharif & Rabbi,35,61,56,31,58,53,0.082,0.598,0.766,73
7547,Potato,Kharif & Rabbi,30,31,66,73,48,57,0.049,0.47,0.689,71
7548,Potato,Kharif & Rabbi,36,69,41,35,35,83,0.121,0.573,0.715,85
7549,Potato,Kharif & Rabbi,31,70,49,51,43,57,0.098,0.537,0.814,71
7550,Potato,Kharif & Rabbi,29,26,51,74,55,45,0.111,0.465,0.587,56
7551,Potato,Kharif & Rabbi,27,51,53,32,43,87,0.103,0.511,0.736,79
7552,Potato,Kharif & Rabbi,28,66,58,27,35,76,0.127,0.579,0.778,78
7553,Potato,Kharif & Rabbi,27,42,67,65,52,42,0.107,0.476,0.72,62
7554,Potato,Kharif & Rabbi,30,26,35,58,33,57,0.098,0.445,0.701,66
7555,Potato,Kharif & Rabbi,33,27,34,70,45,52,0.05,0.502,0.72,64
7556,Potato,Kharif & Rabbi,28,57,46,48,61,44,0.14,0.551,0.788,79
7557,Potato,Kharif & Rabbi,28,35,60,79,61,35,0.082,0.426,0.744,54
7558,Potato,Kharif & Rabbi,26,63,68,33,41,86,0.077,0.461,0.771,91
7559,Potato,Kharif & Rabbi,35,57,42,48,50,59,0.105,0.498,0.786,80
7560,Potato,Kharif & Rabbi,30,29,36,75,41,54,0.109,0.483,0.75,64
7561,Potato,Kharif & Rabbi,36,32,46,72,46,44,0.049,0.373,0.637,60
7562,Potato,Kharif & Rabbi,36,69,42,56,45,50,0.105,0.451,0.814,71
7563,Potato,Kharif & Rabbi,27,28,59,59,52,30,0.06,0.413,0.575,51
7564,Potato,Kharif & Rabbi,31,55,63,27,40,84,0.095,0.556,0.756,91
7565,Potato,Kharif & Rabbi,33,24,58,60,53,33,0.081,0.481,0.53,67
7566,Potato,Kharif & Rabbi,26,59,50,28,50,58,0.061,0.593,0.766,69
7567,Potato,Kharif & Rabbi,34,68,50,24,58,57,0.113,0.452,0.792,79
7568,Potato,Kharif & Rabbi,32,31,34,72,44,54,0.055,0.416,0.674,64
7569,Potato,Kharif & Rabbi,26,43,66,76,34,44,0.071,0.438,0.724,71
7570,Potato,Kharif & Rabbi,26,39,51,61,54,48,0.05,0.476,0.698,70
7571,Potato,Kharif & Rabbi,27,25,46,78,39,47,0.06,0.411,0.559,70
7572,Potato,Kharif & Rabbi,34,44,66,67,39,49,0.097,0.384,0.602,67
7573,Potato,Kharif & Rabbi,30,24,50,81,37,49,0.098,0.391,0.762,64
7574,Potato,Kharif & Rabbi,33,57,47,46,40,72,0.066,0.588,0.823,79
7575,Potato,Kharif & Rabbi,36,66,36,45,60,52,0.14,0.54,0.714,76
7576,Potato,Kharif & Rabbi,32,58,62,33,38,84,0.105,0.518,0.793,75
7577,Potato,Kharif & Rabbi,28,29,37,60,49,55,0.059,0.477,0.685,59
7578,Potato,Kharif & Rabbi,29,59,53,25,50,45,0.102,0.576,0.751,68
7579,Potato,Kharif & Rabbi,30,23,45,60,36,49,0.113,0.49,0.764,60
7580,Potato,Kharif & Rabbi,25,39,52,77,49,56,0.041,0.402,0.722,65
7581,Potato,Kharif & Rabbi,32,26,63,68,51,38,0.072,0.476,0.754,70
7582,Potato,Kharif & Rabbi,34,57,59,24,47,77,0.07,0.578,0.727,84
7583,Potato,Kharif & Rabbi,34,63,62,29,38,77,0.08,0.462,0.721,91
7584,Potato,Kharif & Rabbi,29,65,41,51,50,37,0.124,0.515,0.753,65
7585,Potato,Kharif & Rabbi,25,71,40,47,32,82,0.063,0.534,0.828,89
7586,Potato,Kharif & Rabbi,33,29,41,66,49,53,0.084,0.476,0.755,69
7587,Potato,Kharif & Rabbi,25,34,54,77,58,38,0.116,0.512,0.74,69
7588,Potato,Kharif & Rabbi,36,37,49,72,61,44,0.087,0.509,0.601,61
7589,Potato,Kharif & Rabbi,25,41,50,81,57,42,0.095,0.482,0.754,53
7590,Potato,Kharif & Rabbi,35,38,44,61,36,47,0.043,0.386,0.607,65
7591,Potato,Kharif & Rabbi,33,59,38,39,51,53,0.102,0.598,0.718,67
7592,Potato,Kharif & Rabbi,26,67,55,33,61,60,0.075,0.579,0.801,78
7593,Potato,Kharif & Rabbi,35,36,41,63,59,46,0.113,0.475,0.592,68
7594,Potato,Kharif & Rabbi,27,24,41,68,49,50,0.115,0.421,0.538,65
7595,Potato,Kharif & Rabbi,30,50,37,48,60,60,0.062,0.479,0.795,79
7596,Potato,Kharif & Rabbi,27,40,57,68,56,45,0.106,0.372,0.685,55
7597,Potato,Kharif & Rabbi,35,47,36,79,41,48,0.071,0.419,0.7,62
7598,Potato,Kharif & Rabbi,26,29,52,72,51,49,0.074,0.401,0.605,52
7599,Potato,Kharif & Rabbi,32,66,45,42,39,85,0.092,0.476,0.729,84
7600,Potato,Kharif & Rabbi,36,35,43,81,49,47,0.05,0.385,0.575,70
7601,Potato,Kharif & Rabbi,36,63,66,30,52,55,0.12,0.483,0.813,79
7602,Potato,Kharif & Rabbi,25,69,59,29,55,43,0.088,0.487,0.757,72
7603,Potato,Kharif & Rabbi,35,69,46,53,35,47,0.062,0.597,0.751,70
7604,Potato,Kharif & Rabbi,28,54,40,56,37,52,0.064,0.469,0.745,61
7605,Potato,Kharif & Rabbi,36,48,37,68,32,48,0.045,0.399,0.551,63
7606,Potato,Kharif & Rabbi,34,52,57,31,41,81,0.07,0.543,0.798,81
7607,Potato,Kharif & Rabbi,36,45,52,65,33,52,0.053,0.535,0.555,58
7608,Potato,Kharif & Rabbi,31,27,39,71,40,50,0.074,0.537,0.575,68
7609,Potato,Kharif & Rabbi,36,48,68,62,54,49,0.114,0.385,0.712,54
7610,Potato,Kharif & Rabbi,32,30,59,63,50,48,0.112,0.374,0.526,56
7611,Potato,Kharif & Rabbi,35,61,49,40,45,76,0.109,0.483,0.784,88
7612,Potato,Kharif & Rabbi,31,71,54,30,40,77,0.079,0.507,0.712,87
7613,Potato,Kharif & Rabbi,26,37,41,60,42,48,0.116,0.522,0.632,63
7614,Potato,Kharif & Rabbi,33,26,62,65,43,38,0.064,0.468,0.689,66
7615,Potato,Kharif & Rabbi,33,68,67,26,60,61,0.099,0.579,0.79,76
7616,Potato,Kharif & Rabbi,36,49,56,79,55,43,0.089,0.442,0.604,59
7617,Potato,Kharif & Rabbi,32,68,36,44,35,83,0.097,0.528,0.724,88
7618,Potato,Kharif & Rabbi,29,66,46,52,39,50,0.106,0.483,0.719,69
7619,Potato,Kharif & Rabbi,30,67,40,53,53,49,0.095,0.583,0.828,58
7620,Potato,Kharif & Rabbi,26,56,56,28,55,58,0.097,0.45,0.789,71
7621,Potato,Kharif & Rabbi,27,35,52,65,47,38,0.055,0.504,0.688,62
7622,Potato,Kharif & Rabbi,34,62,66,27,61,52,0.097,0.507,0.764,75
7623,Potato,Kharif & Rabbi,26,27,39,59,61,38,0.107,0.511,0.601,67
7624,Potato,Kharif & Rabbi,31,31,47,60,45,44,0.04,0.463,0.575,65
7625,Potato,Kharif & Rabbi,28,28,39,80,53,33,0.075,0.42,0.693,56
7626,Potato,Kharif & Rabbi,32,60,52,26,46,87,0.085,0.482,0.71,90
7627,Potato,Kharif & Rabbi,27,36,60,76,59,49,0.109,0.424,0.645,56
7628,Potato,Kharif & Rabbi,28,24,53,78,54,44,0.041,0.493,0.746,59
7629,Potato,Kharif & Rabbi,32,50,46,47,43,79,0.102,0.463,0.711,80
7630,Potato,Kharif & Rabbi,32,54,48,46,35,82,0.066,0.497,0.776,86
7631,Potato,Kharif & Rabbi,36,71,60,30,49,84,0.135,0.558,0.807,87
7632,Potato,Kharif & Rabbi,34,33,34,72,37,44,0.104,0.377,0.755,60
7633,Potato,Kharif & Rabbi,33,24,65,62,40,50,0.102,0.465,0.684,67
7634,Potato,Kharif & Rabbi,35,59,34,44,33,79,0.099,0.551,0.774,80
7635,Potato,Kharif & Rabbi,33,38,62,69,57,39,0.083,0.432,0.748,73
7636,Potato,Kharif & Rabbi,30,34,34,61,34,52,0.112,0.393,0.58,68
7637,Potato,Kharif & Rabbi,26,35,38,68,37,57,0.049,0.43,0.635,67
7638,Potato,Kharif & Rabbi,29,43,51,70,60,30,0.087,0.522,0.553,72
7639,Potato,Kharif & Rabbi,25,37,61,81,53,49,0.065,0.424,0.706,54
7640,Potato,Kharif & Rabbi,28,71,63,30,59,42,0.063,0.484,0.782,81
7641,Potato,Kharif & Rabbi,27,37,38,59,57,34,0.109,0.388,0.573,62
7642,Potato,Kharif & Rabbi,29,60,35,50,53,49,0.132,0.475,0.728,61
7643,Potato,Kharif & Rabbi,33,29,65,68,46,55,0.053,0.52,0.527,62
7644,Potato,Kharif & Rabbi,25,42,63,80,52,44,0.057,0.378,0.719,62
7645,Potato,Kharif & Rabbi,27,54,40,42,44,76,0.129,0.458,0.746,90
7646,Potato,Kharif & Rabbi,36,26,56,61,45,53,0.113,0.497,0.677,63
7647,Potato,Kharif & Rabbi,34,27,65,71,44,40,0.069,0.503,0.564,71
7648,Potato,Kharif & Rabbi,34,54,63,31,56,52,0.093,0.589,0.727,81
7649,Potato,Kharif & Rabbi,33,39,57,79,53,37,0.041,0.453,0.63,72
7650,Potato,Kharif & Rabbi,29,54,57,26,56,47,0.06,0.465,0.751,71
7651,Potato,Kharif & Rabbi,25,37,59,81,53,41,0.059,0.488,0.632,55
7652,Potato,Kharif & Rabbi,31,37,53,65,45,41,0.086,0.442,0.626,70
7653,Potato,Kharif & Rabbi,35,24,41,62,58,41,0.107,0.513,0.586,51
7654,Potato,Kharif & Rabbi,26,55,39,39,56,53,0.061,0.595,0.771,78
7655,Potato,Kharif & Rabbi,29,32,56,71,60,38,0.086,0.495,0.55,68
7656,Potato,Kharif & Rabbi,26,70,43,39,58,59,0.071,0.589,0.711,80
7657,Potato,Kharif & Rabbi,30,65,34,38,52,47,0.071,0.499,0.798,71
7658,Potato,Kharif & Rabbi,36,46,44,73,48,50,0.067,0.439,0.758,61
7659,Potato,Kharif & Rabbi,30,66,49,50,36,79,0.14,0.45,0.816,61
7660,Potato,Kharif & Rabbi,31,61,42,36,40,82,0.074,0.457,0.804,77
7661,Potato,Kharif & Rabbi,36,26,56,76,58,42,0.07,0.466,0.667,69
7662,Potato,Kharif & Rabbi,34,25,51,65,44,49,0.043,0.478,0.752,59
7663,Potato,Kharif & Rabbi,31,31,53,75,41,53,0.102,0.529,0.529,61
7664,Potato,Kharif & Rabbi,25,68,64,25,33,84,0.082,0.503,0.737,90
7665,Potato,Kharif & Rabbi,32,25,58,77,49,45,0.113,0.46,0.584,70
7666,Potato,Kharif & Rabbi,36,45,50,72,54,49,0.05,0.38,0.554,61
7667,Potato,Kharif & Rabbi,28,67,58,24,32,79,0.099,0.502,0.727,91
7668,Potato,Kharif & Rabbi,31,25,61,72,41,48,0.054,0.417,0.75,68
7669,Potato,Kharif & Rabbi,33,30,43,61,60,46,0.084,0.456,0.761,66
7670,Potato,Kharif & Rabbi,30,51,49,38,34,78,0.068,0.54,0.756,76
7671,Potato,Kharif & Rabbi,32,66,34,48,57,50,0.106,0.487,0.741,72
7672,Potato,Kharif & Rabbi,34,50,48,47,48,83,0.13,0.579,0.827,82
7673,Potato,Kharif & Rabbi,27,36,66,74,53,32,0.051,0.529,0.634,59
7674,Potato,Kharif & Rabbi,31,31,40,62,58,43,0.063,0.453,0.538,55
7675,Potato,Kharif & Rabbi,33,70,35,37,38,81,0.129,0.539,0.719,83
7676,Potato,Kharif & Rabbi,32,57,42,42,59,42,0.065,0.565,0.752,79
7677,Potato,Kharif & Rabbi,36,32,62,70,50,42,0.051,0.472,0.589,67
7678,Potato,Kharif & Rabbi,36,36,47,62,61,32,0.105,0.416,0.6,55
7679,Potato,Kharif & Rabbi,25,28,57,76,55,40,0.107,0.527,0.739,68
7680,Potato,Kharif & Rabbi,27,71,41,54,45,46,0.132,0.525,0.791,61
7681,Potato,Kharif & Rabbi,31,25,36,74,35,48,0.119,0.413,0.571,68
7682,Potato,Kharif & Rabbi,31,49,39,63,33,45,0.112,0.525,0.768,66
7683,Potato,Kharif & Rabbi,33,57,56,24,35,75,0.062,0.594,0.728,91
7684,Potato,Kharif & Rabbi,27,24,38,78,32,39,0.12,0.485,0.617,71
7685,Potato,Kharif & Rabbi,35,58,57,27,49,86,0.113,0.568,0.801,88
7686,Potato,Kharif & Rabbi,29,56,67,24,39,78,0.121,0.57,0.812,87
7687,Potato,Kharif & Rabbi,34,62,61,24,60,51,0.1,0.566,0.746,76
7688,Potato,Kharif & Rabbi,34,56,64,31,38,78,0.131,0.553,0.813,78
7689,Potato,Kharif & Rabbi,34,51,68,28,33,73,0.08,0.545,0.719,85
7690,Potato,Kharif & Rabbi,29,51,51,30,36,80,0.12,0.569,0.735,77
7691,Potato,Kharif & Rabbi,32,59,63,28,39,85,0.107,0.491,0.774,84
7692,Potato,Kharif & Rabbi,28,45,55,80,55,35,0.088,0.387,0.585,53
7693,Potato,Kharif & Rabbi,32,38,65,69,51,37,0.097,0.462,0.542,63
7694,Potato,Kharif & Rabbi,30,29,35,63,61,48,0.078,0.381,0.593,54
7695,Potato,Kharif & Rabbi,32,29,64,61,57,30,0.047,0.374,0.68,62
7696,Potato,Kharif & Rabbi,26,50,55,24,42,85,0.076,0.585,0.778,86
7697,Potato,Kharif & Rabbi,32,31,51,58,60,35,0.109,0.501,0.618,73
7698,Potato,Kharif & Rabbi,29,44,45,72,34,42,0.101,0.509,0.666,59
7699,Potato,Kharif & Rabbi,25,42,56,70,45,49,0.09,0.534,0.72,58
7700,Potato,Kharif & Rabbi,25,25,60,61,41,53,0.051,0.379,0.665,67
7701,Potato,Kharif & Rabbi,32,32,38,59,35,53,0.097,0.431,0.672,70
7702,Potato,Kharif & Rabbi,33,37,67,68,61,35,0.073,0.496,0.636,67
7703,Potato,Kharif & Rabbi,33,66,36,54,49,41,0.069,0.497,0.743,59
7704,Potato,Kharif & Rabbi,29,42,35,80,35,56,0.047,0.524,0.727,65
7705,Potato,Kharif & Rabbi,34,25,51,69,48,52,0.1,0.495,0.75,59
7706,Potato,Kharif & Rabbi,25,57,54,33,60,60,0.065,0.569,0.756,70
